//action variable slope duration
E1 var_1 1.23 4
E1 var_2 1.40 3
E1 var_3 1.13 6
E1 var_4 1.37 2
E1 var_5 1.26 4
E2 var_2 0.86 3
E2 var_4 0.75 4
E2 var_5 1.04 2
A1 var_2 1.12 3
A1 var_3 1.18 4
A1 var_5 0.76 3
E3 var_1 1.09 6
E3 var_3 0.68 4
E4 var_4 1.32 4
E5 var_1 1.24 5
E5 var_2 0.88 3
E5 var_3 1.19 2
A2 var_1 1.14 5
A2 var_2 0.77 3
A2 var_5 1.50 2
E6 var_2 1.13 3
E6 var_4 0.57 2
E6 var_5 0.88 5
A3 var_1 1.24 4
A3 var_4 1.32 4
A3 var_5 1.40 3
E7 var_2 0.97 7
E7 var_3 1.12 5
E8 var_1 0.83 4 
E8 var_5 0.93 6
A4 var_3 0.78 4
A4 var_4 0.83 5
A4 var_5 0.87 6
E9 var_1 0.94 5 
E9 var_3 1.32 3
